DATE,NGDPSAXDCUSQ
1970-01-01,268327.650000000000
1971-01-01,291212.475000000000
1972-01-01,319778.025000000000
1973-01-01,356344.025000000000
1974-01-01,386310.650000000000
1975-01-01,421226.275000000000
1976-01-01,468353.150000000000
1977-01-01,520456.275000000000
1978-01-01,587899.725000000000
1979-01-01,656831.600000000000
1980-01-01,714327.150000000000
1981-01-01,801760.325000000000
1982-01-01,835947.325000000000
1983-01-01,908509.150000000000
1984-01-01,1009403.525000000000
1985-01-01,1084745.150000000000
1986-01-01,1144908.150000000000
1987-01-01,1213804.075000000000
1988-01-01,1309109.525000000000
1989-01-01,1410394.925000000000
1990-01-01,1490786.150000000000
1991-01-01,1539532.325000000000
1992-01-01,1630081.850000000000
1993-01-01,1714639.650000000000
1994-01-01,1821809.150000000000
1995-01-01,1909937.350000000000
1996-01-01,2018280.450000000000
1997-01-01,2144388.175000000000
1998-01-01,2265704.225000000000
1999-01-01,2407792.950000000000
2000-01-01,2562738.025000000000
2001-01-01,2645482.275000000000
2002-01-01,2732277.075000000000
2003-01-01,2864112.400000000000
2004-01-01,3054298.975000000000
2005-01-01,3259799.250000000000
2006-01-01,3453895.750000000000
2007-01-01,3618556.775000000000
2008-01-01,3692465.475000000000
2009-01-01,3619516.825000000000
2010-01-01,3762242.775000000000
2011-01-01,3899932.900000000000
2012-01-01,4063492.550000000000
2013-01-01,4220170.850000000000
2014-01-01,4402034.575000000000
2015-01-01,4573754.775000000000
2016-01-01,4701228.350000000000
2017-01-01,4903025.650000000000
2018-01-01,5164128.900000000000
2019-01-01,5380348.775000000000
2020-01-01,5330737.400000000000
2021-01-01,5898507.725000000000
2022-01-01,6436027.100000000000
2023-01-01,6839098.275000000000
