DATE,EXPGS,IMPGS
1970-01-01,59.7085000000000000,55.7600000000000000
1971-01-01,62.9627500000000000,62.3420000000000000
1972-01-01,70.8432500000000000,74.2155000000000000
1973-01-01,95.2695000000000000,91.1590000000000000
1974-01-01,126.6500000000000000,127.4647500000000000
1975-01-01,138.7062500000000000,122.7295000000000000
1976-01-01,149.5150000000000000,151.1455000000000000
1977-01-01,159.3485000000000000,182.4425000000000000
1978-01-01,186.8832500000000000,212.2497500000000000
1979-01-01,230.1295000000000000,252.6742500000000000
1980-01-01,280.7717500000000000,293.8282500000000000
1981-01-01,305.2390000000000000,317.7585000000000000
1982-01-01,283.2097500000000000,303.1840000000000000
1983-01-01,276.9962500000000000,328.6382500000000000
1984-01-01,302.3805000000000000,405.1072500000000000
1985-01-01,303.2105000000000000,417.2285000000000000
1986-01-01,320.9982500000000000,452.8670000000000000
1987-01-01,363.9430000000000000,508.7127500000000000
1988-01-01,444.6007500000000000,553.9937500000000000
1989-01-01,504.2892500000000000,591.0305000000000000
1990-01-01,551.8730000000000000,629.7275000000000000
1991-01-01,594.9305000000000000,623.5442500000000000
1992-01-01,633.0527500000000000,667.7907500000000000
1993-01-01,654.7992500000000000,719.9727500000000000
1994-01-01,720.9372500000000000,813.4242500000000000
1995-01-01,812.8102500000000000,902.5715000000000000
1996-01-01,867.5892500000000000,963.9657500000000000
1997-01-01,953.8027500000000000,1055.7740000000000000
1998-01-01,952.9790000000000000,1115.6897500000000000
1999-01-01,992.9102500000000000,1252.4602500000000000
2000-01-01,1096.1107500000000000,1477.1840000000000000
2001-01-01,1026.8117500000000000,1403.5590000000000000
2002-01-01,997.9792500000000000,1437.7240000000000000
2003-01-01,1035.1645000000000000,1557.1197500000000000
2004-01-01,1176.3625000000000000,1810.5035000000000000
2005-01-01,1301.5797500000000000,2041.4825000000000000
2006-01-01,1470.1702500000000000,2256.6232500000000000
2007-01-01,1659.2947500000000000,2395.2275000000000000
2008-01-01,1835.2805000000000000,2576.1505000000000000
2009-01-01,1582.7735000000000000,2001.9267500000000000
2010-01-01,1857.2467500000000000,2389.5552500000000000
2011-01-01,2115.8637500000000000,2695.4805000000000000
2012-01-01,2217.6997500000000000,2769.3175000000000000
2013-01-01,2287.9220000000000000,2766.3755000000000000
2014-01-01,2378.5447500000000000,2887.4450000000000000
2015-01-01,2270.6222500000000000,2794.9417500000000000
2016-01-01,2235.5580000000000000,2738.8297500000000000
2017-01-01,2388.2600000000000000,2931.5885000000000000
2018-01-01,2538.0890000000000000,3131.1657500000000000
2019-01-01,2538.4505000000000000,3116.9535000000000000
2020-01-01,2150.1125000000000000,2776.5035000000000000
2021-01-01,2550.0382500000000000,3408.2765000000000000
2022-01-01,2995.0462500000000000,3966.1645000000000000
